Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
2017-01-03,40,Down,We Don't Talk Anymore,Charlie Puth,1184008,https://i.scdn.co/image/ab67616d00004851c0e28105f0533c52717c46c2,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
2017-01-03,41,Down,Alone,Alan Walker,1151007,https://i.scdn.co/image/ab67616d00004851f00ade2f88d8223521bc7f76,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
2017-01-03,42,Down,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1093336,https://i.scdn.co/image/ab67616d0000485140512e02a594e3378c0256e6,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
2017-01-03,43,Up,"How Far I'll Go - From ""Moana""",Alessia Cara,1085103,https://i.scdn.co/image/ab67616d00004851fb128b1eda22335050f584fe,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
2017-01-03,44,Up,Caroline,Aminé,1058375,https://i.scdn.co/image/ab67616d00004851f79e6e61fb0eec9fbe1abfff,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc
2017-01-03,45,Down,Safari,J Balvin,1044810,https://i.scdn.co/image/ab67616d00004851338ffc4c72a192f06070546b,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
2017-01-03,46,Down,Broccoli (feat. Lil Yachty),DRAM,1041508,https://i.scdn.co/image/ab67616d00004851f02a1575a59bd05998826351,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
2017-01-03,47,Down,This Is What You Came For,Calvin Harris,998694,https://i.scdn.co/image/ab67616d00004851d9aa52355e062f5de060adbf,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
2017-01-03,48,Up,Vente Pa' Ca,Ricky Martin,978607,https://i.scdn.co/image/ab67616d000048513d90f5938459be40b7b6652a,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
2017-01-03,49,Down,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,977577,https://i.scdn.co/image/ab67616d00004851d03fa6f4e758282b7920b5c8,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
2017-01-03,50,Flat,Otra vez (feat. J Balvin),Zion & Lennox,960846,https://i.scdn.co/image/ab67616d0000485182eabf564ddc57325a84dd50,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
2017-01-03,51,Up,Bounce Back,Big Sean,917753,https://i.scdn.co/image/695d0c097d8463ccc2c2b9855fe44e3e9e7bc267,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
2017-01-03,52,Up,The Greatest,Sia,910475,https://i.scdn.co/image/ab67616d00004851754b2fddebe7039fdb912837,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
2017-01-03,53,Flat,Party Monster,The Weeknd,903776,https://i.scdn.co/image/6aeaaebcbd861c8369b14366e8e0eca2fe96055d,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
2017-01-03,54,Down,Sexual,NEIKED,892451,https://i.scdn.co/image/ab67616d000048519c5e27aff6792af94e972af9,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
2017-01-03,55,Up,Solo Dance,Martin Jensen,882787,https://i.scdn.co/image/ab67616d00004851950d67dbe3f31f1d9a5d06a2,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
2017-01-03,56,Up,Deja Vu,J. Cole,877618,https://i.scdn.co/image/fff50a2874dae97e76d3a78e55771d7c59719928,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
2017-01-03,57,Down,Perfect Strangers,Jonas Blue,860118,https://i.scdn.co/image/14891cf71e2287163c137e90074783ba5cdd4ff4,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u
2017-01-03,58,Down,Ride,Twenty One Pilots,858126,https://i.scdn.co/image/ab67616d00004851de03bfc2991fd5bcfde65ba3,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
2017-01-03,59,Flat,Human,Rag'n'Bone Man,841802,https://i.scdn.co/image/ab67616d0000485190a788beadaad34ff684d3ec,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
2017-01-03,60,Up,Make Me (Cry),Noah Cyrus,829868,https://i.scdn.co/image/ab67616d00004851bf2ec8b87525fbd01fb0111f,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
2017-01-03,61,Down,Work,Rihanna,810565,https://i.scdn.co/image/ab67616d000048510ed05634a469e5cf4789b0a7,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
2017-01-03,62,Up,Too Good,Drake,804635,https://i.scdn.co/image/ab67616d00004851726abca207567d5e41cb9667,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
2017-01-03,63,Down,"i hate u, i love u (feat. olivia o'brien)",gnash,804617,https://i.scdn.co/image/ab67616d0000485108862f843ea27f44f8e8cbd8,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
2017-01-03,64,Up,Water Under the Bridge,Adele,801876,https://i.scdn.co/image/ab67616d000048514c3bbcff5e7248e415548f12,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
2017-01-03,65,Down,Stressed Out,Twenty One Pilots,790310,https://i.scdn.co/image/ab67616d00004851de03bfc2991fd5bcfde65ba3,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
2017-01-03,66,Up,Lot to Learn,Luke Christopher,783013,https://i.scdn.co/image/ab67616d00004851f2e8adf51117581629e7c271,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2
2017-01-03,67,Flat,Faded,Alan Walker,768721,https://i.scdn.co/image/ab67616d00004851c4d00cac55ae1b4598c9bc90,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
2017-01-03,68,Down,Love Yourself,Justin Bieber,765363,https://i.scdn.co/image/ab67616d00004851b6d9a4fbb0bd49f0f034aead,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
2017-01-03,69,Down,Panda,Desiigner,756176,https://i.scdn.co/image/ab67616d000048513df69bfb7713d8262820612b,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
2017-01-03,70,Up,Setting Fires,The Chainsmokers,736797,https://i.scdn.co/image/ab67616d000048519e076dc24d45c52fbf7232bb,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
2017-01-03,71,Down,Sorry,Justin Bieber,722759,https://i.scdn.co/image/ab67616d00004851b6d9a4fbb0bd49f0f034aead,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2017-01-03,72,Up,Sunset Lover,Petit Biscuit,722179,https://i.scdn.co/image/ab67616d00004851014080d39d56c94c0b285362,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
2017-01-03,73,Up,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,720940,https://i.scdn.co/image/ab67616d00004851e53443feca656fafbbbae361,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
2017-01-03,74,Down,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,717655,https://i.scdn.co/image/ab67616d000048517d8dfcfd507069d7f2062caf,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
