,Spotify_ID,name,name_album,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,max_chart_rank
1502,6rZFgf3CfLfjDrm10bbfrR,Rubbin off the Paint,Rubbin off the Paint,single,1,156133,True,1,1,5,0.522,0.45299999999999996,1,-17.428,0.419,0.00957,0.0,0.228,0.38799999999999996,108.00399999999999,83.0
1503,4tERsdVCLtLtrGdFBf9DGC,New,New,single,1,230879,True,1,1,4,0.715,0.742,0,-4.331,0.0347,0.052000000000000005,2.47e-05,0.364,0.322,106.971,85.0
1504,7w9bgPAmPTtrkt2v16QWvQ,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call (Deluxe),album,24,326466,True,6,1,4,0.701,0.728,2,-4.553999999999999,0.255,0.00971,0.00115,0.361,0.0591,171.388,125.0
1505,0CLnkxpa3M4eA3HeGaERat,Gorgeous,Gorgeous,single,1,209680,False,1,1,4,0.794,0.537,7,-6.865,0.16899999999999998,0.079,4.98e-06,0.22699999999999998,0.418,92.022,2.0
1506,7r6LNJT2LqpLpEyZQJPygt,Patek Water,SUPER SLIMEY,album,13,189480,True,6,0,4,0.86,0.561,6,-5.757000000000001,0.185,0.27399999999999997,0.0,0.10800000000000001,0.354,152.984,16.0
1507,2UxfcZJCphbEkfbZ6nLiDx,Kids in Love,Kids in Love,single,1,262458,False,1,1,4,0.49700000000000005,0.67,0,-4.5089999999999995,0.0348,0.435,1.25e-06,0.389,0.23600000000000002,121.82600000000001,34.0
1508,06Gyf2pFDVmN5K8XAawG96,No Cap,SUPER SLIMEY,album,13,144142,True,1,1,4,0.8,0.523,1,-6.577999999999999,0.107,0.00108,0.0,0.35200000000000004,0.379,147.05700000000002,42.0
1509,1pZdegOXTZ2ftINo3oUuRZ,Bedroom Floor,Bedroom Floor,single,1,188346,False,1,1,4,0.6779999999999999,0.679,1,-7.093,0.0644,0.301,0.000136,0.11199999999999999,0.218,119.977,46.0
1510,3lyeSiAIdLoZUHhV8psOTI,Feed Me Dope,SUPER SLIMEY,album,13,166693,True,7,0,4,0.853,0.688,8,-6.5089999999999995,0.29600000000000004,0.0118,0.0,0.151,0.565,150.012,34.0
1511,38yBBH2jacvDxrznF7h08J,Slow Hands,Flicker (Deluxe),album,13,188174,False,4,1,4,0.7340000000000001,0.418,0,-6.678,0.0425,0.0129,0.0,0.0579,0.868,85.90899999999999,45.0
1512,1wWRtPIKD7ZNvtsrzLyTev,All da Smoke,SUPER SLIMEY,album,13,204960,True,3,1,4,0.893,0.583,0,-6.862,0.341,0.0265,1.3300000000000001e-05,0.149,0.115,147.0,58.0
1513,4W598w0KcHVG5Nwqk0qMpj,Three,SUPER SLIMEY,album,13,159400,True,2,0,4,0.725,0.6920000000000001,5,-5.742000000000001,0.257,0.008409999999999999,0.0,0.0912,0.298,169.025,59.0
1514,6VFMGKuYTlaYgbhvILfbc7,Candy Paint,Candy Paint,single,1,229573,True,1,1,4,0.669,0.6859999999999999,4,-5.534,0.184,0.627,0.0,0.0734,0.43700000000000006,180.046,48.0
1515,1CxLWO9XW1aK4yv7zViVdn,Seeing Blind,Flicker (Deluxe),album,13,185280,False,3,1,4,0.715,0.5660000000000001,9,-7.5360000000000005,0.0411,0.0375,0.0,0.107,0.509,93.99799999999999,66.0
1516,4v094LQ9eF10k2O2Te2ngK,Too Much To Ask,Flicker (Deluxe),album,13,223043,True,5,1,4,0.519,0.5539999999999999,0,-6.412000000000001,0.0385,0.381,0.0,0.115,0.19399999999999998,153.67600000000002,55.0
1517,3C4FUqrrjuvWoHwsumWfIu,Cruise Ship,SUPER SLIMEY,album,13,166466,True,5,1,4,0.7929999999999999,0.742,0,-6.185,0.21,0.0107,0.0,0.11900000000000001,0.21,150.076,75.0
1518,5b06JZjts6dgyyuY1m7roq,200,SUPER SLIMEY,album,13,146986,True,4,1,4,0.84,0.65,1,-6.707999999999999,0.262,0.00924,0.0,0.201,0.527,145.972,76.0
